taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,sourcePod,destPod,isCrossPod,logicalRound,basePlane,actualPlane,sourcePlanePrevPhase,recvPlanePrevPhase
151,10,1,1093026,URMA_WRITE,5,0ns,151,153,2,0,1,1,0,2,153,
152,10,2,1144308,URMA_WRITE,4,0ns,152,,2,0,1,0,3,1,,
153,10,3,1254030,URMA_WRITE,5,0ns,153,,2,0,1,0,0,2,,
154,10,4,1143661,URMA_WRITE,4,0ns,154,152,2,1,1,1,3,1,152,
155,10,5,1124685,URMA_WRITE,3,0ns,155,150,2,1,1,1,2,0,150,
156,10,6,1198379,URMA_WRITE,6,0ns,156,,2,1,1,0,1,3,,
157,10,7,1074030,URMA_WRITE,6,0ns,157,161,2,1,1,2,1,3,161,
158,10,8,1163742,URMA_WRITE,7,0ns,158,,2,2,0,,,,,
159,10,9,1102901,URMA_WRITE,7,0ns,159,,2,2,0,,,,,
160,10,11,1159712,URMA_WRITE,7,0ns,160,,2,2,0,,,,,
161,10,12,1103080,URMA_WRITE,6,0ns,161,156,2,3,1,1,1,3,156,
162,10,13,1078360,URMA_WRITE,5,0ns,162,151,2,3,1,2,0,2,151,
163,10,14,1064131,URMA_WRITE,4,0ns,163,154,2,3,1,2,3,1,154,
164,10,15,1064883,URMA_WRITE,3,0ns,164,155,2,3,1,2,2,0,155,
165,11,0,1063064,URMA_WRITE,3,0ns,165,167,2,0,1,2,1,0,167,
166,11,1,1241807,URMA_WRITE,6,0ns,166,,2,0,1,0,0,3,,
167,11,2,1092791,URMA_WRITE,3,0ns,167,169,2,0,1,1,1,0,169,
168,11,3,1204691,URMA_WRITE,5,0ns,168,,2,0,1,0,3,2,,
169,11,4,1226002,URMA_WRITE,3,0ns,169,,2,1,1,0,1,0,,
170,11,5,1087803,URMA_WRITE,6,0ns,170,166,2,1,1,1,0,3,166,
171,11,6,1207570,URMA_WRITE,4,0ns,171,,2,1,1,0,2,1,,
172,11,7,1059295,URMA_WRITE,4,0ns,172,176,2,1,1,2,2,1,176,
173,11,8,1191766,URMA_WRITE,7,0ns,173,,2,2,0,,,,,
174,11,9,1177201,URMA_WRITE,7,0ns,174,,2,2,0,,,,,
175,11,10,1201318,URMA_WRITE,7,0ns,175,,2,2,0,,,,,
176,11,12,1113865,URMA_WRITE,4,0ns,176,171,2,3,1,1,2,1,171,
177,11,13,1132837,URMA_WRITE,5,0ns,177,168,2,3,1,1,3,2,168,
178,11,14,1057901,URMA_WRITE,5,0ns,178,177,2,3,1,2,3,2,177,
179,11,15,1080629,URMA_WRITE,6,0ns,179,170,2,3,1,2,0,3,170,
180,12,0,1187313,URMA_WRITE,5,0ns,180,,3,0,1,0,2,2,,
181,12,1,1125359,URMA_WRITE,3,0ns,181,183,3,0,1,2,0,0,183,
182,12,2,1251420,URMA_WRITE,3,0ns,182,,3,0,1,0,0,0,,
183,12,3,1155877,URMA_WRITE,3,0ns,183,182,3,0,1,1,0,0,182,
184,12,4,1219392,URMA_WRITE,4,0ns,184,,3,1,1,0,1,1,,
185,12,5,1101073,URMA_WRITE,6,0ns,185,186,3,1,1,2,3,3,186,
186,12,6,1173818,URMA_WRITE,6,0ns,186,191,3,1,1,1,3,3,191,
187,12,7,1101469,URMA_WRITE,5,0ns,187,189,3,1,1,2,2,2,189,
188,12,8,1111978,URMA_WRITE,4,0ns,188,190,3,2,1,2,1,1,190,
189,12,9,1163608,URMA_WRITE,5,0ns,189,180,3,2,1,1,2,2,180,
190,12,10,1156218,URMA_WRITE,4,0ns,190,184,3,2,1,1,1,1,184,
191,12,11,1177534,URMA_WRITE,6,0ns,191,,3,2,1,0,3,3,,
192,12,13,1058241,URMA_WRITE,7,0ns,192,,3,3,0,,,,,
193,12,14,1106001,URMA_WRITE,7,0ns,193,,3,3,0,,,,,
194,12,15,1158996,URMA_WRITE,7,0ns,194,,3,3,0,,,,,
195,13,0,1164837,URMA_WRITE,6,0ns,195,,3,0,1,0,2,3,,
196,13,1,1113741,URMA_WRITE,5,0ns,196,200,3,0,1,1,1,2,200,
197,13,2,1218297,URMA_WRITE,4,0ns,197,,3,0,1,0,0,1,,
198,13,3,1160730,URMA_WRITE,3,0ns,198,,3,0,1,0,3,0,,
199,13,4,1105125,URMA_WRITE,4,0ns,199,206,3,1,1,2,0,1,206,
200,13,5,1179275,URMA_WRITE,5,0ns,200,,3,1,1,0,1,2,,
201,13,6,1097783,URMA_WRITE,5,0ns,201,196,3,1,1,2,1,2,196,
202,13,7,1056872,URMA_WRITE,3,0ns,202,204,3,1,1,2,3,0,204,
203,13,8,1058224,URMA_WRITE,6,0ns,203,205,3,2,1,2,2,3,205,
204,13,9,1115263,URMA_WRITE,3,0ns,204,198,3,2,1,1,3,0,198,
205,13,10,1114999,URMA_WRITE,6,0ns,205,195,3,2,1,1,2,3,195,
206,13,11,1112116,URMA_WRITE,4,0ns,206,197,3,2,1,1,0,1,197,
207,13,12,1186379,URMA_WRITE,7,0ns,207,,3,3,0,,,,,
208,13,14,1103119,URMA_WRITE,7,0ns,208,,3,3,0,,,,,
209,13,15,1251033,URMA_WRITE,7,0ns,209,,3,3,0,,,,,
210,14,0,1109253,URMA_WRITE,5,0ns,210,212,3,0,1,2,0,2,212,
211,14,1,1157925,URMA_WRITE,4,0ns,211,,3,0,1,0,3,1,,
212,14,2,1117175,URMA_WRITE,5,0ns,212,221,3,0,1,1,0,2,221,
213,14,3,1085722,URMA_WRITE,6,0ns,213,216,3,0,1,2,1,3,216,
214,14,4,1133776,URMA_WRITE,3,0ns,214,217,3,1,1,1,2,0,217,
215,14,5,1062017,URMA_WRITE,4,0ns,215,220,3,1,1,2,3,1,220,
216,14,6,1131024,URMA_WRITE,6,0ns,216,219,3,1,1,1,1,3,219,
217,14,7,1196777,URMA_WRITE,3,0ns,217,,3,1,1,0,2,0,,
218,14,8,1079209,URMA_WRITE,3,0ns,218,214,3,2,1,2,2,0,214,
219,14,9,1197921,URMA_WRITE,6,0ns,219,,3,2,1,0,1,3,,
220,14,10,1154210,URMA_WRITE,4,0ns,220,211,3,2,1,1,3,1,211,
221,14,11,1219747,URMA_WRITE,5,0ns,221,,3,2,1,0,0,2,,
222,14,12,1220011,URMA_WRITE,7,0ns,222,,3,3,0,,,,,
223,14,13,1255894,URMA_WRITE,7,0ns,223,,3,3,0,,,,,
224,14,15,1236625,URMA_WRITE,7,0ns,224,,3,3,0,,,,,
225,15,0,1243801,URMA_WRITE,6,0ns,225,,3,0,1,0,0,3,,
226,15,1,1059193,URMA_WRITE,5,0ns,226,230,3,0,1,2,3,2,230,
227,15,2,1178150,URMA_WRITE,5,0ns,227,,3,0,1,0,3,2,,
228,15,3,1150149,URMA_WRITE,4,0ns,228,232,3,0,1,1,2,1,232,
229,15,4,1072931,URMA_WRITE,4,0ns,229,228,3,1,1,2,2,1,228,
230,15,5,1161326,URMA_WRITE,5,0ns,230,227,3,1,1,1,3,2,227,
231,15,6,1103867,URMA_WRITE,6,0ns,231,235,3,1,1,2,0,3,235,
232,15,7,1198602,URMA_WRITE,4,0ns,232,,3,1,1,0,2,1,,
233,15,8,1091949,URMA_WRITE,3,0ns,233,234,3,2,1,2,1,0,234,
234,15,9,1136810,URMA_WRITE,3,0ns,234,236,3,2,1,1,1,0,236,
235,15,10,1126224,URMA_WRITE,6,0ns,235,225,3,2,1,1,0,3,225,
236,15,11,1220780,URMA_WRITE,3,0ns,236,,3,2,1,0,1,0,,
237,15,12,1172105,URMA_WRITE,7,0ns,237,,3,3,0,,,,,
238,15,13,1258161,URMA_WRITE,7,0ns,238,,3,3,0,,,,,
239,15,14,1217001,URMA_WRITE,7,0ns,239,,3,3,0,,,,,
