nodeId,dstNodeId,dstPortId,outPorts,metrics
1,26,4,4,2
1,26,5,5,2
1,26,6,6,2
1,26,7,7,2
1,26,8,8,2
1,26,9,9,2
1,26,10,10,2
1,26,11,11,2
1,27,0,0,2
1,27,1,1,2
1,27,2,2,2
1,27,3,3,2
1,27,4,4,2
1,27,5,5,2
1,27,6,6,2
1,27,7,7,2
1,27,8,8,2
1,27,9,9,2
1,27,10,10,2
1,27,11,11,2
1,28,0,0,2
1,28,1,1,2
1,28,2,2,2
1,28,3,3,2
1,28,4,4,2
1,28,5,5,2
1,28,6,6,2
1,28,7,7,2
1,28,8,8,2
1,28,9,9,2
1,28,10,10,2
1,28,11,11,2
1,29,0,0,2
1,29,1,1,2
1,29,2,2,2
1,29,3,3,2
1,29,4,4,2
1,29,5,5,2
1,29,6,6,2
1,29,7,7,2
1,29,8,8,2
1,29,9,9,2
1,29,10,10,2
1,29,11,11,2
1,30,0,0,2
1,30,1,1,2
1,30,2,2,2
1,30,3,3,2
1,30,4,4,2
1,30,5,5,2
1,30,6,6,2
1,30,7,7,2
1,30,8,8,2
1,30,9,9,2
1,30,10,10,2
1,30,11,11,2
1,31,0,0,2
1,31,1,1,2
1,31,2,2,2
1,31,3,3,2
1,31,4,4,2
1,31,5,5,2
1,31,6,6,2
1,31,7,7,2
1,31,8,8,2
1,31,9,9,2
1,31,10,10,2
1,31,11,11,2
1,32,0,0,2
1,32,1,1,2
1,32,2,2,2
1,32,3,3,2
1,32,4,4,2
1,32,5,5,2
1,32,6,6,2
1,32,7,7,2
1,32,8,8,2
1,32,9,9,2
1,32,10,10,2
1,32,11,11,2
1,33,0,0,2
1,33,1,1,2
1,33,2,2,2
1,33,3,3,2
1,33,4,4,2
1,33,5,5,2
1,33,6,6,2
1,33,7,7,2
1,33,8,8,2
1,33,9,9,2
1,33,10,10,2
1,33,11,11,2
1,34,0,0,2
1,34,1,1,2
1,34,2,2,2
1,34,3,3,2
1,34,4,4,2
1,34,5,5,2
1,34,6,6,2
1,34,7,7,2
1,34,8,8,2
1,34,9,9,2
1,34,10,10,2
1,34,11,11,2
1,35,0,0,2
1,35,1,1,2
1,35,2,2,2
1,35,3,3,2
1,35,4,4,2
1,35,5,5,2
1,35,6,6,2
1,35,7,7,2
1,35,8,8,2
1,35,9,9,2
1,35,10,10,2
1,35,11,11,2
1,36,0,0,2
1,36,1,1,2
1,36,2,2,2
1,36,3,3,2
1,36,4,4,2
1,36,5,5,2
1,36,6,6,2
1,36,7,7,2
1,36,8,8,2
1,36,9,9,2
1,36,10,10,2
1,36,11,11,2
1,37,0,0,2
1,37,1,1,2
1,37,2,2,2
1,37,3,3,2
1,37,4,4,2
1,37,5,5,2
1,37,6,6,2
1,37,7,7,2
1,37,8,8,2
1,37,9,9,2
1,37,10,10,2
1,37,11,11,2
1,38,0,0,2
1,38,1,1,2
1,38,2,2,2
1,38,3,3,2
1,38,4,4,2
1,38,5,5,2
1,38,6,6,2
1,38,7,7,2
1,38,8,8,2
1,38,9,9,2
1,38,10,10,2
1,38,11,11,2
1,39,0,0,2
1,39,1,1,2
1,39,2,2,2
1,39,3,3,2
1,39,4,4,2
1,39,5,5,2
1,39,6,6,2
1,39,7,7,2
1,39,8,8,2
1,39,9,9,2
1,39,10,10,2
1,39,11,11,2
1,40,0,0,2
1,40,1,1,2
1,40,2,2,2
1,40,3,3,2
1,40,4,4,2
1,40,5,5,2
1,40,6,6,2
1,40,7,7,2
1,40,8,8,2
1,40,9,9,2
1,40,10,10,2
1,40,11,11,2
1,41,0,0,2
1,41,1,1,2
1,41,2,2,2
1,41,3,3,2
1,41,4,4,2
1,41,5,5,2
1,41,6,6,2
1,41,7,7,2
1,41,8,8,2
1,41,9,9,2
1,41,10,10,2
1,41,11,11,2
1,42,0,0,2
1,42,1,1,2
1,42,2,2,2
1,42,3,3,2
1,42,4,4,2
1,42,5,5,2
1,42,6,6,2
1,42,7,7,2
1,42,8,8,2
1,42,9,9,2
1,42,10,10,2
