taskId,sourceNode,destNode,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,taskStartTime(us),taskCompletesTime(us),firstPacketSends(us),lastPacketACKs(us),taskThroughput(Gbps)
138,17,20,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
139,17,21,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
140,17,22,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
141,17,23,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
142,17,16,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
143,17,46,236299,URMA_WRITE,1,0ns,0,,0.0,5.15622,0.001,5.16918,366.6236
144,18,19,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
145,18,20,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
146,18,21,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
147,18,22,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
148,18,23,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
149,18,16,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
150,18,17,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
151,18,45,236299,URMA_WRITE,1,0ns,0,,0.0,5.15642,0.001,5.16938,366.6094
152,19,20,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
153,19,21,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
154,19,22,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
155,19,23,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
156,19,16,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
157,19,17,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
158,19,18,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
159,19,44,236299,URMA_WRITE,1,0ns,0,,0.0,5.09316,0.001,5.10612,371.1629
160,20,21,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
161,20,22,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
162,20,23,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
163,20,16,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
164,20,17,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
165,20,18,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
166,20,19,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
167,20,43,236299,URMA_WRITE,1,0ns,0,,0.0,5.09316,0.001,5.10612,371.1629
168,21,22,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
169,21,23,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
170,21,16,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
171,21,17,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
172,21,18,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
173,21,19,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
174,21,20,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
175,21,42,236299,URMA_WRITE,1,0ns,0,,0.0,5.09316,0.001,5.10612,371.1629
176,22,23,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
177,22,16,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
178,22,17,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
179,22,18,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
180,22,19,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
181,22,20,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
182,22,21,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
183,22,41,236299,URMA_WRITE,1,0ns,0,,0.0,5.09316,0.001,5.10612,371.1629
184,23,16,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
185,23,17,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
186,23,18,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
187,23,19,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
188,23,20,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
189,23,21,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
190,23,22,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
191,23,40,236299,URMA_WRITE,1,0ns,0,,0.0,5.09316,0.001,5.10612,371.1629
192,24,25,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
193,24,26,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
194,24,27,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
195,24,28,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
196,24,29,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
197,24,30,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
198,24,31,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
199,24,39,236299,URMA_WRITE,1,0ns,0,,0.0,5.09316,0.001,5.10612,371.1629
200,25,26,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
201,25,27,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
202,25,28,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
203,25,29,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
204,25,30,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
205,25,31,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
206,25,24,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
207,25,38,236299,URMA_WRITE,1,0ns,0,,0.0,5.09316,0.001,5.10612,371.1629
208,26,27,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
209,26,28,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
210,26,29,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
211,26,30,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
212,26,31,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
213,26,24,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
214,26,25,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
215,26,37,236299,URMA_WRITE,1,0ns,0,,0.0,5.1629,0.001,5.17586,366.1493
216,27,28,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
217,27,29,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
218,27,30,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
219,27,31,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
220,27,24,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
221,27,25,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
222,27,26,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
223,27,36,236299,URMA_WRITE,1,0ns,0,,0.0,5.1629,0.001,5.17586,366.1493
224,28,29,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
225,28,30,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
226,28,31,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
227,28,24,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
228,28,25,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
229,28,26,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
230,28,27,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
231,28,35,236299,URMA_WRITE,1,0ns,0,,0.0,5.09316,0.001,5.10612,371.1629
232,29,30,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
233,29,31,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
234,29,24,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
235,29,25,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
236,29,26,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
237,29,27,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
238,29,28,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
239,29,34,236299,URMA_WRITE,1,0ns,0,,0.0,5.09316,0.001,5.10612,371.1629
240,30,31,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
241,30,24,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
242,30,25,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
243,30,26,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
244,30,27,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
245,30,28,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
246,30,29,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
247,30,33,236299,URMA_WRITE,1,0ns,0,,0.0,5.1629,0.001,5.17586,366.1493
248,31,24,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
249,31,25,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
250,31,26,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
