taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,sourcePod,destPod,isCrossPod,logicalRound,basePlane,actualPlane,sourcePlanePrevPhase,recvPlanePrevPhase
159,10,9,1471112,URMA_WRITE,7,0ns,159,,2,2,0,,,,,
160,10,11,1091046,URMA_WRITE,7,0ns,160,,2,2,0,,,,,
161,10,12,1566874,URMA_WRITE,5,0ns,161,,2,3,1,0,0,2,,
162,10,13,1454870,URMA_WRITE,4,0ns,162,,2,3,1,0,3,1,,
163,10,14,1145997,URMA_WRITE,3,0ns,163,157 58,2,3,1,2,2,0,157,58
164,10,15,1499576,URMA_WRITE,6,0ns,164,44,2,3,1,0,1,3,,44
165,11,0,1269743,URMA_WRITE,6,0ns,165,172 195,2,0,1,2,0,3,172,195
166,11,1,1222068,URMA_WRITE,4,0ns,166,168,2,0,1,2,2,1,168,
167,11,2,1401515,URMA_WRITE,5,0ns,167,,2,0,1,0,3,2,,
168,11,3,1359169,URMA_WRITE,4,0ns,168,171,2,0,1,1,2,1,171,
169,11,4,1542695,URMA_WRITE,3,0ns,169,,2,1,1,0,1,0,,
170,11,5,1378916,URMA_WRITE,5,0ns,170,167,2,1,1,1,3,2,167,
171,11,6,1488966,URMA_WRITE,4,0ns,171,186,2,1,1,0,2,1,,186
172,11,7,1274269,URMA_WRITE,6,0ns,172,176 21,2,1,1,1,0,3,176,21
173,11,8,1329907,URMA_WRITE,7,0ns,173,,2,2,0,,,,,
174,11,9,1403551,URMA_WRITE,7,0ns,174,,2,2,0,,,,,
175,11,10,1459808,URMA_WRITE,7,0ns,175,,2,2,0,,,,,
176,11,12,1569079,URMA_WRITE,6,0ns,176,,2,3,1,0,0,3,,
177,11,13,1126569,URMA_WRITE,5,0ns,177,170,2,3,1,2,3,2,170,
178,11,14,1342262,URMA_WRITE,3,0ns,178,169 103,2,3,1,1,1,0,169,103
179,11,15,1249124,URMA_WRITE,3,0ns,179,178 89,2,3,1,2,1,0,178,89
180,12,0,1095283,URMA_WRITE,5,0ns,180,183 75,3,0,1,2,2,2,183,75
181,12,1,1462553,URMA_WRITE,6,0ns,181,,3,0,1,0,3,3,,
182,12,2,1182408,URMA_WRITE,3,0ns,182,185 152,3,0,1,2,0,0,185,152
183,12,3,1331105,URMA_WRITE,5,0ns,183,188 63,3,0,1,1,2,2,188,63
184,12,4,1111997,URMA_WRITE,4,0ns,184,190 18,3,1,1,2,1,1,190,18
185,12,5,1223966,URMA_WRITE,3,0ns,185,187,3,1,1,1,0,0,187,
186,12,6,1535719,URMA_WRITE,4,0ns,186,,3,1,1,0,1,1,,
187,12,7,1543696,URMA_WRITE,3,0ns,187,,3,1,1,0,0,0,,
188,12,8,1471913,URMA_WRITE,5,0ns,188,,3,2,1,0,2,2,,
189,12,9,1457984,URMA_WRITE,6,0ns,189,181,3,2,1,1,3,3,181,
190,12,10,1277733,URMA_WRITE,4,0ns,190,186 84,3,2,1,1,1,1,186,84
191,12,11,1052008,URMA_WRITE,6,0ns,191,189 115,3,2,1,2,3,3,189,115
192,12,13,1270030,URMA_WRITE,7,0ns,192,,3,3,0,,,,,
193,12,14,1212932,URMA_WRITE,7,0ns,193,,3,3,0,,,,,
194,12,15,1062323,URMA_WRITE,7,0ns,194,,3,3,0,,,,,
195,13,0,1318415,URMA_WRITE,6,0ns,195,197 105,3,0,1,1,2,3,197,105
196,13,1,1170095,URMA_WRITE,5,0ns,196,199 151,3,0,1,2,1,2,199,151
197,13,2,1463584,URMA_WRITE,6,0ns,197,227,3,0,1,0,2,3,,227
198,13,3,1448172,URMA_WRITE,3,0ns,198,138,3,0,1,0,3,0,,138
199,13,4,1281711,URMA_WRITE,5,0ns,199,205 48,3,1,1,1,1,2,205,48
200,13,5,1104570,URMA_WRITE,6,0ns,200,195,3,1,1,2,2,3,195,
201,13,6,1260041,URMA_WRITE,4,0ns,201,204 171,3,1,1,1,0,1,204,171
202,13,7,1218342,URMA_WRITE,4,0ns,202,201 217,3,1,1,2,0,1,201,217
203,13,8,1395280,URMA_WRITE,3,0ns,203,198 7,3,2,1,1,3,0,198,7
204,13,9,1542990,URMA_WRITE,4,0ns,204,,3,2,1,0,0,1,,
205,13,10,1509574,URMA_WRITE,5,0ns,205,,3,2,1,0,1,2,,
206,13,11,1076251,URMA_WRITE,3,0ns,206,203 25,3,2,1,2,3,0,203,25
207,13,12,1131402,URMA_WRITE,7,0ns,207,,3,3,0,,,,,
208,13,14,1084419,URMA_WRITE,7,0ns,208,,3,3,0,,,,,
209,13,15,1166977,URMA_WRITE,7,0ns,209,,3,3,0,,,,,
210,14,0,1561152,URMA_WRITE,5,0ns,210,,3,0,1,0,0,2,,
211,14,1,1318009,URMA_WRITE,3,0ns,211,214,3,0,1,1,2,0,214,
212,14,2,1194078,URMA_WRITE,6,0ns,212,221 197,3,0,1,1,1,3,221,197
213,14,3,1091962,URMA_WRITE,3,0ns,213,211 198,3,0,1,2,2,0,211,198
214,14,4,1428757,URMA_WRITE,3,0ns,214,169,3,1,1,0,2,0,,169
215,14,5,1132136,URMA_WRITE,5,0ns,215,220 34,3,1,1,2,0,2,220,34
216,14,6,1059639,URMA_WRITE,4,0ns,216,217 156,3,1,1,2,3,1,217,156
217,14,7,1359938,URMA_WRITE,4,0ns,217,218,3,1,1,1,3,1,218,
218,14,8,1412340,URMA_WRITE,4,0ns,218,82,3,2,1,0,3,1,,82
219,14,9,1126940,URMA_WRITE,6,0ns,219,212 83,3,2,1,2,1,3,212,83
220,14,10,1137852,URMA_WRITE,5,0ns,220,210 114,3,2,1,1,0,2,210,114
221,14,11,1524388,URMA_WRITE,6,0ns,221,55,3,2,1,0,1,3,,55
222,14,12,1448249,URMA_WRITE,7,0ns,222,,3,3,0,,,,,
223,14,13,1263903,URMA_WRITE,7,0ns,223,,3,3,0,,,,,
224,14,15,1374860,URMA_WRITE,7,0ns,224,,3,3,0,,,,,
225,15,0,1456084,URMA_WRITE,4,0ns,225,233 60,3,0,1,1,2,1,233,60
226,15,1,1293628,URMA_WRITE,6,0ns,226,227 181,3,0,1,1,0,3,227,181
