taskId,sourceNode,destNode,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,srcEntityId,dstEntityId
177,11,4,8947848,URMA_WRITE,7,0ns,177,,178,178
178,11,2,8947848,URMA_WRITE,7,0ns,178,,179,179
179,11,3,8947848,URMA_WRITE,7,0ns,179,,180,180
180,12,11,8947849,URMA_WRITE,7,0ns,180,,181,181
181,12,13,8947849,URMA_WRITE,7,0ns,181,,182,182
182,12,10,8947849,URMA_WRITE,7,0ns,182,,183,183
183,12,14,8947849,URMA_WRITE,7,0ns,183,,184,184
184,12,9,8947849,URMA_WRITE,7,0ns,184,,185,185
185,12,15,8947849,URMA_WRITE,7,0ns,185,,186,186
186,12,8,8947849,URMA_WRITE,7,0ns,186,,187,187
187,12,0,8947849,URMA_WRITE,7,0ns,187,,188,188
188,12,7,8947848,URMA_WRITE,7,0ns,188,,189,189
189,12,1,8947848,URMA_WRITE,7,0ns,189,,190,190
190,12,6,8947848,URMA_WRITE,7,0ns,190,,191,191
191,12,2,8947848,URMA_WRITE,7,0ns,191,,192,192
192,12,5,8947848,URMA_WRITE,7,0ns,192,,193,193
193,12,3,8947848,URMA_WRITE,7,0ns,193,,194,194
194,12,4,8947848,URMA_WRITE,7,0ns,194,,195,195
195,13,12,8947849,URMA_WRITE,7,0ns,195,,196,196
196,13,14,8947849,URMA_WRITE,7,0ns,196,,197,197
197,13,11,8947849,URMA_WRITE,7,0ns,197,,198,198
198,13,15,8947849,URMA_WRITE,7,0ns,198,,199,199
199,13,10,8947849,URMA_WRITE,7,0ns,199,,200,200
200,13,0,8947849,URMA_WRITE,7,0ns,200,,201,201
201,13,9,8947849,URMA_WRITE,7,0ns,201,,202,202
202,13,1,8947849,URMA_WRITE,7,0ns,202,,203,203
203,13,8,8947848,URMA_WRITE,7,0ns,203,,204,204
204,13,2,8947848,URMA_WRITE,7,0ns,204,,205,205
205,13,7,8947848,URMA_WRITE,7,0ns,205,,206,206
206,13,3,8947848,URMA_WRITE,7,0ns,206,,207,207
207,13,6,8947848,URMA_WRITE,7,0ns,207,,208,208
208,13,4,8947848,URMA_WRITE,7,0ns,208,,209,209
209,13,5,8947848,URMA_WRITE,7,0ns,209,,210,210
210,14,13,8947849,URMA_WRITE,7,0ns,210,,211,211
