nodeId1,portId1,nodeId2,portId2,bandwidth,delay
50,6,230,2,400Gbps,1ns
50,7,246,2,400Gbps,1ns
51,0,134,3,400Gbps,1ns
51,1,150,3,400Gbps,1ns
51,2,166,3,400Gbps,1ns
51,3,182,3,400Gbps,1ns
51,4,198,3,400Gbps,1ns
51,5,214,3,400Gbps,1ns
51,6,230,3,400Gbps,1ns
51,7,246,3,400Gbps,1ns
52,0,134,4,400Gbps,1ns
52,1,150,4,400Gbps,1ns
52,2,166,4,400Gbps,1ns
52,3,182,4,400Gbps,1ns
52,4,198,4,400Gbps,1ns
52,5,214,4,400Gbps,1ns
52,6,230,4,400Gbps,1ns
52,7,246,4,400Gbps,1ns
53,0,134,5,400Gbps,1ns
53,1,150,5,400Gbps,1ns
53,2,166,5,400Gbps,1ns
53,3,182,5,400Gbps,1ns
53,4,198,5,400Gbps,1ns
53,5,214,5,400Gbps,1ns
53,6,230,5,400Gbps,1ns
53,7,246,5,400Gbps,1ns
54,0,134,6,400Gbps,1ns
54,1,150,6,400Gbps,1ns
54,2,166,6,400Gbps,1ns
54,3,182,6,400Gbps,1ns
54,4,198,6,400Gbps,1ns
54,5,214,6,400Gbps,1ns
54,6,230,6,400Gbps,1ns
54,7,246,6,400Gbps,1ns
55,0,134,7,400Gbps,1ns
55,1,150,7,400Gbps,1ns
55,2,166,7,400Gbps,1ns
55,3,182,7,400Gbps,1ns
55,4,198,7,400Gbps,1ns
55,5,214,7,400Gbps,1ns
55,6,230,7,400Gbps,1ns
55,7,246,7,400Gbps,1ns
56,0,135,0,400Gbps,1ns
56,1,151,0,400Gbps,1ns
56,2,167,0,400Gbps,1ns
56,3,183,0,400Gbps,1ns
56,4,199,0,400Gbps,1ns
56,5,215,0,400Gbps,1ns
56,6,231,0,400Gbps,1ns
56,7,247,0,400Gbps,1ns
57,0,135,1,400Gbps,1ns
57,1,151,1,400Gbps,1ns
57,2,167,1,400Gbps,1ns
57,3,183,1,400Gbps,1ns
57,4,199,1,400Gbps,1ns
57,5,215,1,400Gbps,1ns
57,6,231,1,400Gbps,1ns
57,7,247,1,400Gbps,1ns
58,0,135,2,400Gbps,1ns
58,1,151,2,400Gbps,1ns
58,2,167,2,400Gbps,1ns
58,3,183,2,400Gbps,1ns
58,4,199,2,400Gbps,1ns
58,5,215,2,400Gbps,1ns
58,6,231,2,400Gbps,1ns
58,7,247,2,400Gbps,1ns
59,0,135,3,400Gbps,1ns
59,1,151,3,400Gbps,1ns
59,2,167,3,400Gbps,1ns
59,3,183,3,400Gbps,1ns
59,4,199,3,400Gbps,1ns
59,5,215,3,400Gbps,1ns
59,6,231,3,400Gbps,1ns
59,7,247,3,400Gbps,1ns
60,0,135,4,400Gbps,1ns
60,1,151,4,400Gbps,1ns
60,2,167,4,400Gbps,1ns
60,3,183,4,400Gbps,1ns
60,4,199,4,400Gbps,1ns
60,5,215,4,400Gbps,1ns
60,6,231,4,400Gbps,1ns
60,7,247,4,400Gbps,1ns
61,0,135,5,400Gbps,1ns
61,1,151,5,400Gbps,1ns
61,2,167,5,400Gbps,1ns
61,3,183,5,400Gbps,1ns
61,4,199,5,400Gbps,1ns
61,5,215,5,400Gbps,1ns
61,6,231,5,400Gbps,1ns
61,7,247,5,400Gbps,1ns
62,0,135,6,400Gbps,1ns
62,1,151,6,400Gbps,1ns
62,2,167,6,400Gbps,1ns
62,3,183,6,400Gbps,1ns
62,4,199,6,400Gbps,1ns
62,5,215,6,400Gbps,1ns
62,6,231,6,400Gbps,1ns
62,7,247,6,400Gbps,1ns
63,0,135,7,400Gbps,1ns
63,1,151,7,400Gbps,1ns
63,2,167,7,400Gbps,1ns
63,3,183,7,400Gbps,1ns
63,4,199,7,400Gbps,1ns
63,5,215,7,400Gbps,1ns
63,6,231,7,400Gbps,1ns
63,7,247,7,400Gbps,1ns
64,0,136,0,400Gbps,1ns
64,1,152,0,400Gbps,1ns
64,2,168,0,400Gbps,1ns
64,3,184,0,400Gbps,1ns
64,4,200,0,400Gbps,1ns
64,5,216,0,400Gbps,1ns
64,6,232,0,400Gbps,1ns
64,7,248,0,400Gbps,1ns
65,0,136,1,400Gbps,1ns
65,1,152,1,400Gbps,1ns
65,2,168,1,400Gbps,1ns
65,3,184,1,400Gbps,1ns
65,4,200,1,400Gbps,1ns
65,5,216,1,400Gbps,1ns
65,6,232,1,400Gbps,1ns
65,7,248,1,400Gbps,1ns
66,0,136,2,400Gbps,1ns
66,1,152,2,400Gbps,1ns
66,2,168,2,400Gbps,1ns
66,3,184,2,400Gbps,1ns
66,4,200,2,400Gbps,1ns
66,5,216,2,400Gbps,1ns
66,6,232,2,400Gbps,1ns
66,7,248,2,400Gbps,1ns
67,0,136,3,400Gbps,1ns
67,1,152,3,400Gbps,1ns
67,2,168,3,400Gbps,1ns
67,3,184,3,400Gbps,1ns
67,4,200,3,400Gbps,1ns
67,5,216,3,400Gbps,1ns
67,6,232,3,400Gbps,1ns
67,7,248,3,400Gbps,1ns
68,0,136,4,400Gbps,1ns
68,1,152,4,400Gbps,1ns
68,2,168,4,400Gbps,1ns
68,3,184,4,400Gbps,1ns
68,4,200,4,400Gbps,1ns
68,5,216,4,400Gbps,1ns
68,6,232,4,400Gbps,1ns
68,7,248,4,400Gbps,1ns
69,0,136,5,400Gbps,1ns
69,1,152,5,400Gbps,1ns
69,2,168,5,400Gbps,1ns
69,3,184,5,400Gbps,1ns
69,4,200,5,400Gbps,1ns
69,5,216,5,400Gbps,1ns
69,6,232,5,400Gbps,1ns
69,7,248,5,400Gbps,1ns
70,0,136,6,400Gbps,1ns
70,1,152,6,400Gbps,1ns
70,2,168,6,400Gbps,1ns
70,3,184,6,400Gbps,1ns
70,4,200,6,400Gbps,1ns
70,5,216,6,400Gbps,1ns
70,6,232,6,400Gbps,1ns
70,7,248,6,400Gbps,1ns
71,0,136,7,400Gbps,1ns
71,1,152,7,400Gbps,1ns
71,2,168,7,400Gbps,1ns
71,3,184,7,400Gbps,1ns
71,4,200,7,400Gbps,1ns
71,5,216,7,400Gbps,1ns
71,6,232,7,400Gbps,1ns
71,7,248,7,400Gbps,1ns
72,0,137,0,400Gbps,1ns
72,1,153,0,400Gbps,1ns
72,2,169,0,400Gbps,1ns
72,3,185,0,400Gbps,1ns
72,4,201,0,400Gbps,1ns
72,5,217,0,400Gbps,1ns
72,6,233,0,400Gbps,1ns
72,7,249,0,400Gbps,1ns
73,0,137,1,400Gbps,1ns
73,1,153,1,400Gbps,1ns
73,2,169,1,400Gbps,1ns
73,3,185,1,400Gbps,1ns
